LoanID,CustomerID,RegionID,Application_Date,Approval_Status,Disbursement_Date,Loan_Amount,Interest_Rate,Term_Months,Loan_Type,CreditScore_At_Application,EMI_Amount,Collateral_Type,Payment_Frequency,Channel,SourceSystem,Default_Status,Default_Date
L0003117,C001815,R0373,2022-07-19,Approved,05-Sep-2022 16:12,15260.69,11.52,84.0,Home loan,757,265.49,Guarantee,MONTHLY,BRANCH,CoreBank,0,
L0003118,C007201,R0050,07-Feb-2021 22:40,Approved,02-20-2021,6765.09,9.84,48.0,Gold Loan,730,171.06,Guarantee,Monthly,BRANCH,Salesforce,0,
L0003119,C002731,R0310,23/11/2024,Approved,03-Dec-2024 03:15,12490.84,8.65,12.0,Gold loan,728,1090.32,NONE,MONTHLY,Agent,PartnerAPI,0,
L0003120,C000775,R0265,07/12/2020,Approved,22/12/2020,11689.26,10.94,48.0,Mortgage,729,301.77,,MONTHLY,Branch,CoreBank,0,
L0003121,C001331,R0333,2024-10-03,Approved,,7633.33,12.96,48.0,Business loan,709,204.63,None,Monthly,Agent,Campaign,0,
L0003122,C000195,R0452,04-20-2022,Approved,"Apr 21, 2022",10656.75,11.5,84.0,AUTO LOAN,606,185.28,NONE,MONTHLY,BRANCH,Campaign,0,
L0003123,C007813,R0241,2024-06-22,Approved,2024/06/24 04:46:05,12267.9,11.78,36.0,Home Loan,619,406.18,Gold,Biweekly,Online,Salesforce,0,
L0003124,C007215,R0389,01-14-2025,Approved,13/03/2025,11006.17,16.67,36.0,Mortgage,748,390.59,Vehicle,MONTHLY,BRANCH,PartnerAPI,0,
L0003125,C004675,R0140,28-Jan-2024 18:13,Approved,2024-02-27,1947105.5628683043,8.87,12.0,Gold Loan,647,767.59,Gold,MONTHLY,Agent,CoreBank,0,
L0003126,C001384,R0169,2025/10/06 20:38:02,Approved,2025/11/12 20:38:02,24935.74,14.2,36.0,Business loan,632,854.67,NONE,MONTHLY,MobileApp,CoreBank,0,
L0003127,C002750,R0132,10-12-2021,Approved,23/11/2021,14102.06,12.03,48.0,AUTO LOAN,676,371.57,NONE,Monthly,Agent,Salesforce,0,
L0003128,C004680,R0270,09/12/2023,Approved,,14093.16,15.95,18.0,Gold loan,742,885.51,Gold,MONTHLY,MobileApp,PartnerAPI,0,
L0003129,C006764,R0243,2022-05-22,Approved,06-01-2022,10836.29,14.24,24.0,PERSONAL LOAN,615,521.51,Guarantee,Biweekly,Agent,Campaign,0,
L0003130,C001460,R0270,07-Jun-2021 17:06,Approved,2021-06-29,12310.55,11.57,12.0,Education Loan,694,1091.3,None,Monthly,BRANCH,Campaign,0,
L0003131,C005789,R0042,23/07/2021,Approved,16/08/2021,9687.09,20.43,84.0,Auto Loan,611,217.63,NONE,MONTHLY,Partner,CoreBank,no,
L0003132,C000580,R0104,20/01/2024,Approved,29/01/2024,4928.98,2.5,18.0,PERSONAL LOAN,645,279.28,NONE,Biweekly,Branch,Campaign,0,
L0003133,C006981,R0309,"Nov 27, 2023",Approved,"Dec 26, 2023",6656.48,13.04,60.0,Personal Loan,656,151.59,Guarantee,Monthly,Agent,Campaign,1,09-08-2024
L0003134,C000447,R0376,14-Sep-2023 14:37,Rejected,,15198.26,7.13,36.0,gold loan,636,470.18,Gold,Biweekly,Branch,CoreBank,0,
L0003135,C006335,R0377,2025/03/02 19:26:02,Approved,2025/03/08 19:26:02,8157.51,10.28,36.0,Personal Loan,745,264.29,None,Monthly,MobileApp,PartnerAPI,1,
L0003136,C002653,R0275,"Jan 08, 2023",Approved,"Jan 11, 2023",12436.64,5.25,12.0,Gold Loan,700,1066.09,Gold,MONTHLY,Branch,CoreBank,0,
L0003137,C004742,R0392,"Jan 12, 2024",Pending,,9181.33,6.64,18.0,Business Loan,653,537.31,Property,Monthly,Agent,CoreBank,1,
L0003138,C001876,R0298,"Sep 26, 2025",Approved,11-17-2025,12340.24,16.93,36.0,Auto Loan,617,439.53,Vehicle,MONTHLY,BRANCH,PartnerAPI,0,
L0003139,C002384,R0055,2022/09/23 20:37:18,Approved,,15321.83,13.93,60.0,Mortgage,705,355.96,FD,Biweekly,Partner,Campaign,0,
L0003140,C006116,R0161,2024/07/08 21:10:36,Approved,2024-08-24,6723.25,10.55,84.0,Personal Loan,662,113.53,None,MONTHLY,Online,Salesforce,0,
L0003141,C006845,R0468,07-Jul-2021 19:31,Approved,31/07/2021,14447.79,14.37,24.0,auto loan,657,696.21,NONE,Monthly,MobileApp,Salesforce,0,
L0003142,C005314,R0484,"May 24, 2023",Approved,08/06/2023,16290.05,11.69,48.0,Education loan,647,426.5,None,Monthly,BRANCH,CoreBank,0,
L0003143,C003987,R0485,2022-05-16,Approved,,10072.3,11.52,12.0,Education loan,627,892.65,Property,Biweekly,Partner,Salesforce,no,
L0003144,C000219,R0215,20-Mar-2023 13:30,Approved,2023-05-06,10028.06,15.68,24.0,business loan,676,489.47,Gold,MONTHLY,MobileApp,Campaign,0,
L0003145,C007974,R0166,08/01/2023,Approved,01-16-2023,19240.36,12.9,48.0,GOLD LOAN,729,515.22,Vehicle,Monthly,BRANCH,PartnerAPI,0,
L0003146,C000127,R0064,2020-12-08,Pending,,17534.68,13.36,84.0,auto loan,774,322.43,Property,Monthly,BRANCH,Campaign,0,
L0003147,C001644,R0469,08-06-2021,Approved,2021/09/14 01:55:37,10728.44,9.97,36.0,Auto Loan,613,346.03,NONE,Biweekly,MobileApp,Campaign,0,
L0003148,C000887,R0262,16/09/2025,Approved,22/10/2025,,10.68,24.0,Personal Loan,716,488.9,Guarantee,Monthly,Online,CoreBank,0,
L0003149,C001862,R0122,2023/05/17 21:43:00,Rejected,,9478.61,14.0,12.0,Gold Loan,675,851.06,None,MONTHLY,Partner,Campaign,0,
L0003150,C007265,R0009,"Oct 23, 2024",Approved,12-06-2024,22016.22,14.71,60.0,Auto Loan,460,520.42,Guarantee,MONTHLY,Agent,PartnerAPI,0,
L0003151,C007199,R0291,2023/02/17 15:59:02,Approved,,15517.78,17.24,60.0,Personal Loan,664,387.66,NONE,Monthly,BRANCH,PartnerAPI,0,
L0003152,C006895,R0420,07-14-2021,Pending,,5186.5,9.95,60.0,Personal Loan,797,110.07,FD,Monthly,Agent,PartnerAPI,0,
L0003153,C000828,R0085,2024-06-19,Approved,08-Jul-2024 12:38,9060.66,3.65,36.0,HOME LOAN,584,266.1,Guarantee,Monthly,Agent,CoreBank,0,
L0003154,C006358,R0074,20-Feb-2022 16:56,Pending,,14304.58,10.32,24.0,Gold Loan,645,662.2,Gold,Biweekly,Branch,PartnerAPI,0,
L0003155,C002954,R0009,11/02/2025,Approved,03-02-2025,22331.41,14.33,48.0,Mortgage,695,613.94,Vehicle,Biweekly,Partner,CoreBank,0,
L0003156,C002004,R0401,03-16-2023,Approved,03-28-2023,7697.73,6.78,60.0,Auto Loan,754,151.63,Property,Biweekly,BRANCH,CoreBank,0,
L0003157,C003700,R0126,19-Jun-2024 23:29,Approved,2024/07/25 23:29:26,12754.98,14.4,18.0,Personal Loan,726,792.12,Vehicle,Monthly,Agent,Salesforce,0,
L0003158,C006703,R0058,2024-06-11,Approved,07-Aug-2024 16:05,6499.13,12.19,18.0,Education Loan,773,396.9,Property,Monthly,Branch,Campaign,0,
L0003159,C000908,R0394,09-Jul-2022 01:45,Approved,2022/08/19 01:45:05,13646.49,9.11,12.0,personal loan,608,,None,Biweekly,Branch,CoreBank,0,
L0003160,C001448,R0072,20/12/2020,Rejected,,13606.86,9.95,36.0,Home Loan,607,438.74,None,MONTHLY,Agent,Salesforce,0,
L0003161,C007975,R0117,2024-02-14,Approved,2024/03/08 10:55:23,12098.06,11.95,84.0,Education Loan,786,213.24,NONE,Monthly,Branch,CoreBank,0,
L0003162,C000687,R0383,2022-05-29,Approved,"Jul 20, 2022",15711.3,3.78,48.0,Auto Loan,758,353.2,None,Monthly,Partner,Campaign,0,
L0003163,C006560,R0047,2021-03-08,Approved,,8158.02,6.33,36.0,Business loan,621,93515.96569665796,Vehicle,MONTHLY,BRANCH,PartnerAPI,0,
L0003164,C005521,R0415,2022-03-26,Pending,,,16.78,48.0,Business Loan,758,407.55,None,Biweekly,Partner,Campaign,1,
L0003165,C002521,R0216,07/07/2023,Approved,2023/07/11 02:34:19,-2558746.7934941156,6.45,18.0,Gold Loan,546,569.71,Vehicle,Monthly,Agent,Salesforce,0,
L0003166,C007324,R0324,2020-11-27,Approved,"Dec 08, 2020",10502.49,4.03,36.0,business loan,566,310.22,FD,MONTHLY,Agent,CoreBank,1,
L0003167,C004318,R0399,"Dec 21, 2024",Approved,2024/12/24 22:34:41,9084.87,13.77,84.0,Auto loan,735,169.1,Property,MONTHLY,Online,PartnerAPI,0,
L0003168,C001234,R0171,10-Mar-2023 10:40,Approved,,13569.29,9.64,72.0,mortgage,730,248.93,Property,MONTHLY,Online,Campaign,1,
L0003169,C005086,R0177,2021/02/07 12:19:01,Approved,,17364.45,13.29,72.0,Home Loan,694,351.24,Guarantee,Biweekly,BRANCH,Salesforce,0,
L0003170,C007919,R0497,2024-04-24,Approved,2024-06-16,5769.98,9.26,72.0,Auto Loan,643,104.75,Property,Monthly,MobileApp,PartnerAPI,0,
L0003171,C006718,R0391,08-24-2023,Approved,2023-09-11,13107.15,7.03,24.0,Gold Loan,541,587.02,Vehicle,Biweekly,MobileApp,PartnerAPI,0,
L0003172,C003048,R0401,2021/10/02 12:18:04,Approved,2021-11-24,15075.48,11.23,24.0,Business Loan,806,704.25,Property,Biweekly,MobileApp,Salesforce,0,
L0003173,C003362,R0022,01-09-2021,Rejected,,15100.12,15.07,60.0,GOLD LOAN,644,359.79,Vehicle,Monthly,Online,Salesforce,0,
L0003174,C003057,R0106,2025-05-19,Approved,"Jun 06, 2025",6926.2,6.67,84.0,auto loan,715,103.42,Property,Biweekly,MobileApp,PartnerAPI,0,
L0003175,C001816,R0185,2024/04/25 22:47:09,Approved,16-Jun-2024 22:47,7029.07,10.06,84.0,Personal loan,770,116.91,Guarantee,Monthly,Online,Salesforce,0,
L0003176,C001244,R0177,2023-03-08,Approved,03-15-2023,11450.67,14.32,48.0,home loan,774,314.75,NONE,MONTHLY,Partner,Campaign,0,
L0003177,C001937,R0176,"Nov 30, 2023",Approved,01/01/2024,18765.41,14.13,48.0,Gold loan,727,514.02,Guarantee,MONTHLY,Online,Salesforce,0,
L0003178,C006667,R0420,2024/03/06 05:04:16,Approved,"Apr 21, 2024",15655.43,16.86,12.0,Mortgage,581,1426.81,Vehicle,Monthly,MobileApp,Salesforce,0,
L0003179,C006315,R0106,"Nov 01, 2022",Approved,"Dec 28, 2022",15775.19,7.94,72.0,BUSINESS LOAN,784,276.13,Vehicle,MONTHLY,Partner,Salesforce,0,
L0003180,C005197,R0141,14/01/2021,Approved,15-Jan-2021 02:43,15260.56,16.16,72.0,Home loan,812,332.38,FD,MONTHLY,MobileApp,CoreBank,0,
L0003181,C005935,R0183,2021-03-05,Approved,2021-04-29,8094.12,12.25,36.0,home loan,747,269.81,NONE,Biweekly,Agent,Salesforce,0,
L0003182,C005036,R0314,"Jul 06, 2021",Rejected,,13343.8,7.54,24.0,Business loan,838,600.71,FD,Biweekly,Partner,Campaign,1,
L0003183,C003041,R0487,"May 11, 2024",Approved,2024/05/20 03:52:30,16673.49,11.52,24.0,Business loan,612,781.15,NONE,MONTHLY,MobileApp,CoreBank,0,
L0003184,C006691,R0099,04/11/2025,Approved,"Dec 17, 2025",13421.65,15.72,18.0,Auto loan,746,841.86,NONE,Biweekly,MobileApp,Campaign,0,
L0003185,C002065,R0140,07/03/2021,Approved,04/05/2021,16969.13,16.26,60.0,Gold Loan,681,415.0,Guarantee,MONTHLY,Branch,Salesforce,0,
L0003186,C007011,R0353,2024-10-18,Approved,"Nov 10, 2024",16296.72,21.09,60.0,Mortgage,597,441.71,Property,Biweekly,MobileApp,PartnerAPI,0,
L0003187,C006207,R0039,"Oct 05, 2024",Approved,28-Nov-2024 18:29,11587.45,11.33,24.0,Gold Loan,627,541.84,Gold,Monthly,BRANCH,Salesforce,0,
L0003188,C003431,R0075,04/06/2023,Approved,27-Jun-2023 00:41,14904.2,16.72,36.0,business loan,790,529.3,Gold,MONTHLY,Agent,Campaign,0,
L0003189,C001615,R0072,"Jan 04, 2021",Approved,2021/01/15 05:15:10,11474.89,10.69,18.0,Mortgage,642,692.8,None,Biweekly,Online,Campaign,0,
L0003190,C006469,R0409,04-01-2021,Approved,"May 30, 2021",18619.73,9.86,72.0,gold loan,743,343.63,None,Biweekly,BRANCH,CoreBank,0,
L0003191,C005520,R0336,2023-10-26,Approved,2023-11-01,9301.93,21.06,36.0,PERSONAL LOAN,769,350.74,Gold,Biweekly,BRANCH,Campaign,0,
L0003192,C003347,R0426,2020/12/29 10:39:19,Approved,"Jan 07, 2021",7307.15,6.52,60.0,Education Loan,613,143.04,None,Biweekly,Partner,Campaign,0,
L0003193,C000086,R0203,2022/06/05 21:37:58,Pending,,10512.0,5.97,84.0,MORTGAGE,811,153.41,Gold,MONTHLY,BRANCH,CoreBank,0,
L0003194,C003062,R0054,05-Oct-2021 19:17,Approved,2021/11/29 19:17:28,14217.17,5.19,60.0,auto loan,598,269.53,Property,MONTHLY,Online,Salesforce,1,20/09/2022
L0003195,C002158,R0295,2021-02-09,Approved,"Apr 01, 2021",9988.67,16.4,60.0,Home loan,711,245.03,Guarantee,Monthly,Partner,CoreBank,0,
L0003196,C007719,R0132,2023/09/22 08:25:53,Approved,"Nov 05, 2023",15836.48,9.19,24.0,GOLD LOAN,835,724.87,FD,MONTHLY,MobileApp,CoreBank,0,
L0003197,C002394,R0183,"Aug 02, 2022",Approved,24-Aug-2022 00:15,13426.95,11.68,84.0,Home loan,723,234.73,None,MONTHLY,Agent,CoreBank,0,
L0003198,C001593,R0323,"Mar 10, 2024",Approved,2024/03/27 19:45:27,9717.37,8.78,18.0,Personal Loan,757,578.15,Gold,MONTHLY,Online,Salesforce,0,
L0003199,C006558,R0049,2024-05-15,Approved,02-Jun-2024 10:44,12817.7,17.77,12.0,Personal Loan,511,1173.72,Gold,Biweekly,Partner,CoreBank,0,
L0003200,C004513,R0272,22/05/2022,Approved,,21048.37,14.04,84.0,Gold Loan,754,394.91,FD,Biweekly,Branch,CoreBank,0,
L0003201,C003302,R0258,09-22-2025,Approved,20/10/2025,12296.35,8.7,36.0,education loan,586,389.31,Guarantee,Monthly,Branch,Salesforce,0,
L0003202,C003606,R0434,2021/12/10 05:40:53,Approved,2021/12/19 05:40:53,6501.46,13.13,60.0,Education Loan,635,148.36,None,Biweekly,Online,Salesforce,1,
L0003203,C006526,R0015,02/06/2024,Approved,18/07/2024,12897.22,15.57,18.0,Mortgage,654,808.05,None,MONTHLY,BRANCH,PartnerAPI,0,
L0003204,C005999,R0467,08/05/2023,Approved,06-09-2023,12405.41,13.66,72.0,gold loan,647,253.37,Vehicle,MONTHLY,Partner,Campaign,0,
L0003205,C005908,R0405,2021/11/22 09:33:00,Approved,01-06-2022,11379.23,14.19,24.0,Auto Loan,658,547.37,Gold,Biweekly,MobileApp,PartnerAPI,0,
L0003206,C001927,R0143,2022/09/26 13:35:08,Approved,14-Oct-2022 13:35,14046.48,12.0,24.0,Business Loan,680,661.22,None,MONTHLY,MobileApp,Salesforce,0,
L0003207,C002103,R0381,2023/07/09 20:45:20,Approved,19/07/2023,11175.46,7.07,18.0,Home Loan,784,656.19,Property,MONTHLY,BRANCH,PartnerAPI,0,
L0003208,C001833,R0021,"Dec 05, 2021",Approved,"Jan 08, 2022",12297.12,10.19,48.0,auto loan,622,313.01,Gold,MONTHLY,MobileApp,PartnerAPI,0,
L0003209,C002297,R0213,12-08-2021,Rejected,,19494.92,20.47,60.0,Auto Loan,635,521.61,None,Monthly,Online,Salesforce,0,
L0003210,C001742,R0255,12-19-2020,Approved,"Feb 01, 2021",11281.08,16.18,72.0,Auto loan,786,245.83,Property,Biweekly,Partner,CoreBank,1,2023-01-14
L0003211,C002710,R0433,10-11-2022,Approved,03/11/2022,11344.53,12.46,12.0,Personal Loan,664,1010.39,FD,Biweekly,Agent,Campaign,0,
L0003212,C004890,R0121,16-Jun-2021 16:03,Approved,2021-07-03,14233.39,14.79,12.0,auto loan,640,1283.27,Guarantee,Biweekly,Online,Salesforce,0,
L0003213,C004129,R0003,11/02/2021,Approved,04-Mar-2021 21:18,15675.02,9.13,72.0,AUTO LOAN,533,283.56,Guarantee,MONTHLY,Agent,Campaign,0,
L0003214,C002066,R0104,2023-08-06,Approved,2023/08/17 15:51:09,9706.39,10.02,72.0,business loan,591,179.92,Vehicle,Biweekly,MobileApp,CoreBank,0,
L0003215,C001788,R0184,04-21-2024,Approved,,11086.24,6.61,48.0,HOME LOAN,761,263.47,Guarantee,MONTHLY,Online,PartnerAPI,0,
L0003216,C007378,R0162,09-Apr-2024 05:50,Approved,"Apr 14, 2024",10920.28,8.99,24.0,Home Loan,700,498.84,Property,Biweekly,Agent,Campaign,1,2025/08/27 05:50:20
L0003217,C005569,R0404,07-23-2025,Pending,,16065.43,8.98,84.0,Business Loan,664,258.31,Vehicle,MONTHLY,Online,Salesforce,0,
L0003218,C005098,R0416,2021/01/12 01:56:10,Approved,02-07-2021,4941.32,15.02,84.0,Personal loan,654,95.41,FD,Monthly,Agent,PartnerAPI,0,
L0003219,C005549,R0148,2021-10-14,Approved,09/11/2021,7366.23,15.82,12.0,BUSINESS LOAN,743,667.72,Gold,MONTHLY,Branch,Campaign,1,
L0003220,C005808,R0462,08/02/2021,Pending,,20219.05,20.72,18.0,Mortgage,669,1316.46,None,Biweekly,Partner,PartnerAPI,0,
L0003221,C003791,R0295,12-01-2024,Approved,29-Dec-2024 13:50,8091.94,6.88,24.0,HOME LOAN,612,361.86,NONE,Biweekly,Branch,PartnerAPI,0,
L0003222,C000467,R0395,2023/07/29 18:26:27,Rejected,,13488.05,12.44,60.0,Gold loan,682,303.04,FD,Monthly,Online,CoreBank,0,
L0003223,C005264,R0488,2025-03-27,Approved,,9151.36,5.49,72.0,Gold Loan,647,149.47,,Biweekly,Branch,PartnerAPI,0,
L0003224,C003987,R0185,28-Apr-2025 00:30,Approved,05-23-2025,6650.77,14.43,72.0,EDUCATION LOAN,789,138.58,None,MONTHLY,Branch,Salesforce,0,
L0003225,C005516,R0288,28-Jan-2024 10:09,Approved,18/02/2024,3741368.9482028056,9.49,60.0,Home loan,655,415.1,None,MONTHLY,Online,PartnerAPI,0,
L0003226,C003378,R0014,2023-10-24,Approved,10-25-2023,20864.59,9.65,36.0,gold loan,660,669.82,Property,MONTHLY,Partner,Campaign,0,
L0003227,C005555,R0007,03/11/2022,Approved,,20477.13,11.13,24.0,Business Loan,589,955.63,Property,Biweekly,Branch,CoreBank,0,
L0003228,C001947,R0234,2023-09-26,Approved,"Nov 21, 2023",13897.04,7.93,,Business loan,811,435.03,Guarantee,MONTHLY,Online,Salesforce,1,
L0003229,C001638,R0335,07-Feb-2022 04:51,Approved,24/03/2022,11209.55,10.71,36.0,Mortgage,671,365.45,Property,Monthly,MobileApp,Salesforce,0,
L0003230,C003332,R0373,2024/06/02 15:44:30,Approved,2024-06-18,16615.5,13.75,84.0,Education loan,735,309.08,Gold,Monthly,Partner,Salesforce,0,
L0003231,C006592,R0490,2021/01/11 03:04:15,Approved,2021-02-04,7508.72,9.97,24.0,mortgage,727,346.39,Property,Monthly,BRANCH,Campaign,0,
L0003232,C002240,R0144,09-Jan-2021 01:20,Approved,2021/02/17 01:20:53,12093.16,8.82,36.0,EDUCATION LOAN,809,383.55,None,Monthly,Agent,PartnerAPI,0,
L0003233,C001809,R0383,"Dec 31, 2024",Approved,"Jan 27, 2025",7999.45,11.61,36.0,BUSINESS LOAN,714,264.21,FD,Monthly,MobileApp,Campaign,0,
L0003234,C007187,R0197,06-Dec-2020 08:53,Approved,2021/01/12 08:53:13,13485.4,7.95,24.0,education loan,558,609.6,Property,MONTHLY,BRANCH,Salesforce,0,
L0003235,C004387,R0227,2025-04-04,Approved,07-Apr-2025 00:35,,14.57,48.0,Home Loan,518,276.21,Guarantee,Monthly,Partner,CoreBank,0,
L0003236,C004560,R0324,2025/06/08 04:50:42,Approved,11/07/2025,16295.23,,36.0,BUSINESS LOAN,696,502.03,Gold,Monthly,Partner,Salesforce,0,
L0003237,C005959,R0356,2021-08-15,Approved,"Aug 18, 2021",6300.05,20.6,18.0,BUSINESS LOAN,573,409.83,Property,Biweekly,Online,Salesforce,1,
L0003238,C003235,R0399,2025/07/19 08:29:32,Approved,16-Aug-2025 08:29,17168.47,10.9,36.0,Gold Loan,686,561.26,None,MONTHLY,Branch,Salesforce,0,
L0003239,C006278,R0015,2025-06-12,Rejected,,9784.76,16.09,,Personal loan,628,238.41,Guarantee,MONTHLY,BRANCH,Campaign,0,
L0003240,C001094,R0166,2021-09-27,Approved,05-Oct-2021 11:27,12256.73,10.28,12.0,Auto Loan,691,1079.16,Gold,Monthly,Agent,Campaign,0,
L0003241,C007690,R0119,22-Feb-2024 08:11,Approved,2024-03-27,8609.32,9.63,60.0,gold loan,795,181.36,NONE,Biweekly,Branch,PartnerAPI,0,
L0003242,C007226,R0423,09-01-2025,Approved,04/09/2025,12234.94,3.56,60.0,HOME LOAN,499,222.9,Gold,Biweekly,Branch,PartnerAPI,0,
L0003243,C000970,R0325,2025/05/10 15:10:05,Approved,03-Jun-2025 15:10,21586.3,12.8,36.0,personal loan,717,725.25,FD,Biweekly,Agent,CoreBank,0,
L0003244,C005409,R0435,10-Sep-2025 14:44,Approved,2025/11/02 14:44:08,8665.38,13.32,12.0,BUSINESS LOAN,415,775.27,FD,Monthly,MobileApp,Campaign,0,
L0003245,C000798,R0024,"Dec 08, 2020",Approved,16-Dec-2020 09:39,12180.18,9.23,84.0,business loan,599,197.39,None,Biweekly,Online,PartnerAPI,0,
L0003246,C005798,R0396,2024-11-22,Approved,"Jan 17, 2025",9983.32,14.91,72.0,EDUCATION LOAN,852,210.61,None,MONTHLY,MobileApp,Salesforce,0,
L0003247,C002197,R0488,2021/01/11 09:01:30,Approved,2021/01/31 09:01:30,5192.13,6.29,12.0,personal loan,587,447.56,Vehicle,MONTHLY,BRANCH,PartnerAPI,0,
L0003248,C002560,R0147,2022/10/15 08:07:47,Rejected,,18079.55,12.07,36.0,home loan,816,601.1,,Monthly,BRANCH,PartnerAPI,0,
L0003249,C001074,R0355,2025/05/08 12:15:56,Approved,,17930.57,16.33,48.0,Auto Loan,646,511.19,Gold,Biweekly,Branch,CoreBank,0,
L0003250,C000804,R0102,23/06/2022,Approved,,10406.14,11.08,12.0,Education Loan,728,920.1,FD,Monthly,Agent,CoreBank,0,
L0003251,C000728,R0207,"Sep 29, 2022",Approved,"Oct 11, 2022",15570.01,11.49,12.0,Home loan,650,1379.66,Gold,Biweekly,Partner,CoreBank,0,
L0003252,C003635,R0148,17/11/2020,Approved,03-Jan-2021 12:15,4872.92,5.97,24.0,EDUCATION LOAN,701,215.9,FD,Monthly,MobileApp,Campaign,0,
L0003253,C002997,R0474,2022/03/30 09:36:55,Approved,11/04/2022,13957.4,12.28,12.0,PERSONAL LOAN,624,1241.93,Guarantee,Monthly,Agent,PartnerAPI,0,
L0003254,C000863,R0109,05-14-2024,Approved,2024/06/23 01:03:25,14469.26,14.06,24.0,Gold Loan,561,695.12,Gold,Monthly,Online,CoreBank,1,
L0003255,C004388,R0315,12-29-2022,Approved,30-Jan-2023 09:54,7743.77,16.06,84.0,Education Loan,769,154.07,NONE,MONTHLY,Branch,Salesforce,0,
L0003256,C006066,R0012,"Mar 11, 2022",Approved,,10697.45,10.48,60.0,gold loan,699,229.82,Gold,Monthly,MobileApp,CoreBank,0,
L0003257,C002882,R0420,10-31-2025,Approved,2025/11/17 00:25:09,14423.14,9.07,36.0,Home Loan,625,459.12,Gold,MONTHLY,Partner,Campaign,0,
L0003258,C006297,R0481,2021-09-14,Approved,10-01-2021,8104.63,6.85,36.0,Home loan,728,249.69,Gold,Monthly,Agent,Salesforce,0,
L0003259,C000380,R0483,04-21-2025,Approved,20/05/2025,16850.59,8.52,24.0,education loan,617,766.11,Property,MONTHLY,Agent,Campaign,0,
L0003260,C001203,R0297,"Aug 29, 2025",Approved,09-19-2025,11428.62,10.3,60.0,auto loan,711,244.51,None,Biweekly,Branch,Campaign,0,
L0003261,C006834,R0345,10/10/2024,Approved,11-10-2024,9172.49,14.93,84.0,Personal Loan,583,176.64,NONE,Biweekly,BRANCH,CoreBank,0,
L0003262,C001674,R0293,16-Sep-2023 21:57,Approved,10-03-2023,19357.66,13.11,60.0,Mortgage,614,441.54,Vehicle,Monthly,MobileApp,Campaign,0,
L0003263,C001103,R0468,2022-03-23,Approved,18/04/2022,9631.17,10.78,48.0,EDUCATION LOAN,668,247.89,FD,MONTHLY,MobileApp,Salesforce,0,
L0003264,C005488,R0229,2022/12/08 14:47:43,Approved,2022-12-26,14220.83,17.44,72.0,EDUCATION LOAN,703,319.86,Vehicle,Monthly,MobileApp,PartnerAPI,0,
L0003265,C000001,R0307,03/08/2021,Approved,08-16-2021,10977.87,12.86,12.0,BUSINESS LOAN,678,979.79,Gold,Monthly,MobileApp,PartnerAPI,0,
L0003266,C000085,R0122,26-May-2022 09:08,Rejected,,17613.57,8.83,36.0,Gold Loan,762,558.71,Vehicle,MONTHLY,BRANCH,Campaign,0,
L0003267,C004239,R0196,09-06-2023,Approved,2023/09/11 03:09:15,12420.85,13.99,12.0,Auto Loan,709,,Property,Monthly,Online,CoreBank,1,
L0003268,C000205,R0308,2021/06/22 18:09:04,Approved,08-09-2021,10677.85,11.42,48.0,Gold loan,803,278.16,None,MONTHLY,MobileApp,CoreBank,0,
L0003269,C003520,R0350,"Aug 15, 2021",Approved,2021/09/14 09:56:21,10463.76,8.24,24.0,HOME LOAN,,474.39,Vehicle,Biweekly,Online,PartnerAPI,0,
L0003270,C003463,R0208,09-29-2021,Approved,2021-09-30,12307.23,12.52,24.0,HOME LOAN,744,582.34,Gold,Monthly,Agent,Campaign,0,
L0003271,C006677,R0388,"Dec 29, 2020",Approved,30/01/2021,20073.12,12.86,84.0,mortgage,638,363.64,None,Biweekly,BRANCH,PartnerAPI,0,
L0003272,C002320,R0491,"May 18, 2025",Approved,"Jun 23, 2025",11795.71,9.02,72.0,personal loan,731,212.74,Vehicle,Monthly,Agent,Salesforce,0,
L0003273,C003236,R0160,17/02/2025,Approved,2025-03-19,19032.3,10.48,60.0,Mortgage,694,408.89,,Biweekly,Branch,PartnerAPI,0,
L0003274,C000765,R0107,23-Feb-2022 02:20,Approved,"Mar 27, 2022",6382.7,13.95,60.0,Education Loan,761,148.35,NONE,Biweekly,Agent,Salesforce,1,
L0003275,C001777,R0388,2024/09/06 12:25:33,Approved,09-08-2024,11825.05,12.33,24.0,PERSONAL LOAN,616,558.47,Guarantee,Monthly,Online,Campaign,0,
L0003276,C006618,R0368,06-27-2025,Approved,25/08/2025,8696.4,10.54,24.0,Education Loan,606,403.47,FD,MONTHLY,Branch,PartnerAPI,0,
L0003277,C006242,R0033,"Jul 05, 2025",Rejected,,10860.22,7.96,60.0,Education loan,667,220.0,Vehicle,Monthly,Branch,PartnerAPI,0,
L0003278,C004825,R0208,07/10/2022,Approved,,7714.47,12.1,48.0,personal loan,649,203.53,Guarantee,MONTHLY,Partner,Salesforce,0,
L0003279,C006539,R0188,23/10/2021,Approved,13-Nov-2021 20:16,11729.88,,18.0,EDUCATION LOAN,731,694.46,Vehicle,Monthly,BRANCH,CoreBank,0,
L0003280,C003222,R0429,"Feb 19, 2024",Approved,14-Apr-2024 02:47,10298.3,11.36,36.0,Education loan,643,338.91,Vehicle,Biweekly,Online,PartnerAPI,0,
